gene	module
GOT2	turquoise
CLYBL	royalblue
RAP2A	blue
UPF3B	turquoise
SEPT6	green
ATP5S	darkgreen
PTGER2	brown
FAM193A	lightcyan1
HS3ST3B1	grey60
GGA3	blue
ARMC7	orangered4
NUP85	turquoise
SLC25A19	blue
GTF3C4	grey
DDX31	grey
IL1B	blue
INSIG2	violet
POLR1B	blue
CCDC93	blue
ALKBH7	brown
ATG4C	turquoise
SH2D3A	turquoise
OPA3	blue
EML2	pink
PANK2	darkorange
GZF1	blue
PSMF1	brown
RBCK1	blue
TMX4	violet
STK35	brown
SNRPB	blue
BMP2	red
MKKS	cyan
BFSP1	red
MGME1	brown
TBC1D20	turquoise
ITPA	darkred
MCM8	lightcyan
MAX	turquoise
ID1	purple
PLAGL2	black
KDM5C	brown
UROD	grey
TMEM53	blue
MCF2L	turquoise
PCID2	cyan
FRMD8	darkgrey
BCL2L12	lightgreen
IRF3	turquoise
PRR12	grey
ASL	turquoise
STAT5A	brown
PRKCG	blue
TRAP1	darkgrey
IFI6	brown
PCNX4	lightcyan
ATG14	magenta
RHOJ	yellow
PZP	turquoise
OMG	turquoise
HNRNPH2	brown
IPPK	turquoise
FGD3	blue
PPCS	brown
BCL11B	green
HELB	green
RAB3IP	turquoise
PTPRB	purple
ADGRE2	blue
TICAM1	turquoise
METTL25	blue
TUBA4A	darkgrey
TNFRSF19	turquoise
RNF6	blue
GNG11	yellow
FGL2	blue
STYXL1	turquoise
GNAI1	turquoise
PMS2P3	darkred
PEX1	magenta
SGCE	lightsteelblue1
RBM48	violet
ZNF780B	turquoise
PAICS	darkmagenta
A4GALT	turquoise
APOL3	yellow
TPST2	blue
APOL2	purple
RAC2	blue
APOBEC3A	blue
KRT17	turquoise
EMC4	mediumpurple3
SPECC1	cyan
POT1	blue
LSM8	blue
CDHR3	turquoise
DNAJB9	blue
NDUFA5	white
CHN1	greenyellow
ORMDL1	blue
ARHGAP22	blue
TMOD2	turquoise
C15orf57	darkgreen
ALDH1A2	blue
ANAPC13	yellow
PALLD	turquoise
SERGEF	grey
DCTD	darkorange
PLD2	grey
TXNDC17	blue
LRRC6	turquoise
KRI1	turquoise
ILF3	turquoise
CDKN2D	midnightblue
NGDN	turquoise
RAB2B	lightcyan1
EPB41L4A	turquoise
SEC14L1	blue
RHBDF2	blue
ARHGEF6	brown
PUDP	yellowgreen
CRACR2A	cyan
GNL3L	blue
SH3BP4	turquoise
MOSPD2	turquoise
ECSIT	turquoise
APOC1	brown
GADD45G	turquoise
SAFB2	yellow
BST2	brown
PGLS	orange
SNX9	blue
QRSL1	ivory
C6orf203	royalblue
RSPH3	tan
MLLT1	lightyellow
STK33	turquoise
FCHO1	blue
SSBP4	yellow
GDF15	turquoise
PGPEP1	lightcyan
LSM4	brown
TRPM4	salmon
UBAC1	turquoise
ZBTB46	blue
COL5A1	lightcyan
PAK4	brown
ZNF337	turquoise
CEP85	brown
ADRM1	blue
ASS1	turquoise
METTL26	turquoise
EIF2S3	cyan
GMFG	brown
SMPDL3B	grey
ZNF317	grey
DNMT1	blue
ZNF426	blue
ZNF331	blue
NOL11	brown
HABP4	paleturquoise
SLC35D2	turquoise
UBA1	blue
POLN	sienna3
AKAP12	purple
LATS1	turquoise
LILRB2	blue
TTLL9	turquoise
ZNF341	blue
CHMP1A	turquoise
SH3BGRL	brown
COX7B	brown
NFATC1	blue
RAB11FIP4	turquoise
TRAF3	grey60
HACL1	blue
RBSN	pink
LRRC4B	brown
PSME3	brown
VPS25	turquoise
NDFIP1	darkgreen
UBE2D2	turquoise
C1orf159	black
NINJ1	blue
NPHP4	turquoise
WDR44	turquoise
ZCCHC9	grey
RARA	blue
KHDRBS3	blue
PEX11B	turquoise
CLUHP3	turquoise
RAI2	yellow
CHSY1	blue
SNRPA1	blue
C19orf12	skyblue3
GCH1	blue
ZSWIM4	yellow
RFX1	blue
PPARG	brown
NUP210	white
HSD17B7	turquoise
EMILIN2	blue
TRIM22	brown
PTCD3	turquoise
IQCA1	turquoise
ILKAP	magenta
CARD6	royalblue
RPA1	turquoise
SERPINF1	turquoise
TMEM128	grey
LANCL2	blue
ITGB4	floralwhite
UNK	orange
KDM6B	blue
XAF1	brown
SDF2	turquoise
PRMT7	turquoise
BTBD3	turquoise
RIN2	blue
KIAA0907	turquoise
IGHMBP2	plum1
NASP	turquoise
RBM38	darkolivegreen
OSER1	tan
DMGDH	turquoise
AP3B1	blue
CASP9	turquoise
USPL1	midnightblue
POMP	blue
MYH10	turquoise
SCO1	black
CHI3L1	greenyellow
SLC41A1	turquoise
COG6	turquoise
EPSTI1	green
GPALPP1	turquoise
BEX2	turquoise
SLF1	turquoise
MACROD1	grey
FOPNL	blue
MORC2	ivory
LARGE1	red
MYO18B	greenyellow
GIMAP4	steelblue
ZNF767P	darkturquoise
LRRIQ1	turquoise
ATP13A3	blue
TMTC1	purple
IMPA1	turquoise
LRRCC1	turquoise
ARNTL	salmon
LYVE1	blue
MICALCL	brown
SARAF	green
RNF122	purple
MED6	grey
CDK7	skyblue3
IRAK2	blue
THUMPD3	brown
VHL	darkgreen
BHLHE40	greenyellow
ARL8B	blue
CHL1	turquoise
EMC7	black
PRPF38B	white
GSTM3	blue
CHIA	grey
PTPN22	green
WNT2B	blue
PTGFRN	turquoise
CEPT1	blue
GRHL1	turquoise
RSAD2	turquoise
IAH1	midnightblue
CDC73	blue
CRB1	lightcyan1
FBXO18	turquoise
IL2RA	mediumpurple3
IL15RA	saddlebrown
CABLES1	red
DOCK2	blue
EMP1	yellow
KLRD1	lightgreen
RBMX2	turquoise
STK26	brown
HOOK1	red
PRPF38A	cyan
TPGS2	turquoise
TIMM10	grey
DHX34	blue
FADS2	turquoise
C5AR2	blue
COL4A2	purple
CLDN10	magenta
UBAC2	blue
ETS1	green
WDR36	paleturquoise
OSTF1	blue
UBQLN1	skyblue3
NAA35	turquoise
CTSL	blue
TMEM2	lightgreen
GOLM1	turquoise
FAM189A2	red
PSAT1	turquoise
ADAM19	green
CCNJL	turquoise
FBXO21	green
OASL	paleturquoise
CCDC146	turquoise
TMEM60	violet
MDFIC	brown
KHDC1	darkorange
LCA5	turquoise
MAP3K7	blue
PRR5L	black
KRT7	pink
PKIB	turquoise
STX11	blue
CCT7	brown
DYSF	blue
MDM2	turquoise
MPHOSPH6	blue
KIAA0513	blue
DYNC1LI2	darkred
PCNX2	turquoise
KCNK1	turquoise
EGLN1	blue
COG2	tan
ABCB10	skyblue3
TAF5L	brown
STX6	lightsteelblue1
FAM129A	green
PIGC	blue
SP110	salmon
DOCK10	blue
SLC19A3	blue
SERPINE2	turquoise
EIF4E2	greenyellow
CAB39	brown
TMEM127	brown
TGFBRAP1	blue
EPC2	turquoise
CKAP4	blue
PLXNC1	blue
PWP1	turquoise
RNASEH2B	black
RCBTB1	sienna3
COG3	darkgrey
SCEL	pink
SPRY2	floralwhite
RCBTB2	blue
LCP1	blue
NUPL2	darkturquoise
IL6	blue
ZDHHC4	grey
AOAH	blue
DDX56	blue
IREB2	lightcyan1
ALPK3	brown
TM6SF1	blue
VEZF1	blue
TEX2	darkturquoise
SCN2A	turquoise
SCN7A	yellow
VPS45	brown
IL1RN	blue
BIN1	orangered4
IMP4	blue
HS6ST1	midnightblue
GYPC	brown
DNAJC1	turquoise
LRRC8A	turquoise
CDK9	turquoise
ODF2	turquoise
TOR1B	brown
C9orf78	turquoise
SMC2	blue
KLF4	blue
FAM129B	red
TLR4	blue
ZNF189	brown
PRPF4	turquoise
USP20	midnightblue
GARNL3	purple
DPM2	turquoise
TSTD2	blue
PSMB7	blue
TRMO	blue
GOLGA1	green
NCBP1	turquoise
PDCL	steelblue
ENPP2	midnightblue
TMEM261	grey
POLR1E	darkorange
RNF38	turquoise
CD72	grey
GRHPR	brown
HINT2	turquoise
CNPY3	blue
PIM1	blue
CMTR1	turquoise
YIPF3	turquoise
KIAA0319	turquoise
IRF4	magenta
LRRC1	pink
IER3	blue
MDC1	blue
ATAT1	lightcyan
TPMT	black
RNF144B	blue
MTCH1	black
FAM8A1	turquoise
TTC29	turquoise
THAP12	darkmagenta
NUMA1	lightgreen
CCDC90B	salmon
SYTL2	turquoise
RAB30	turquoise
CREBZF	yellow
PRCP	blue
NARS2	black
RNF121	grey
SULF1	turquoise
TGS1	blue
DDX60	darkred
SORL1	green
TMPRSS4	turquoise
PPP2R1B	salmon
FDX1	midnightblue
ARHGAP20	yellow
CASP1	brown
ALKBH8	brown
THBS1	blue
MAPKBP1	turquoise
NUSAP1	darkgrey
NDUFAF1	greenyellow
HAUS2	brown
LRRC49	turquoise
UACA	darkturquoise
SMAD6	ivory
TMEM62	darkgrey
TTLL7	darkred
KYAT3	blue
GTF2B	blue
BRDT	skyblue3
IFI44	brown
ADCY3	blue
THUMPD2	blue
CYP1B1	grey
SLC5A6	magenta
DTNB	red
MFSD13A	grey
BTBD16	turquoise
KIF11	turquoise
DUSP5	blue
ENTPD1	brown
EXOC6	purple
RBP4	brown
DBR1	darkorange
ANXA7	turquoise
FAM149B1	cyan
ZNF365	blue
DNA2	turquoise
BARD1	floralwhite
STAT4	green
ASNSD1	grey
METTL5	darkturquoise
NAB1	blue
SLC40A1	turquoise
SLC35A5	grey
DIRC2	blue
SPPL2A	turquoise
APH1B	plum1
PARP16	purple
PPCDC	turquoise
HERC3	darkorange
HERC5	paleturquoise
COPS4	grey
BMPR1B	turquoise
RAP1GDS1	blue
MMRN1	blue
PDE5A	tan
PRDM5	red
NAAA	brown
NUP54	magenta
BMP2K	midnightblue
SEPT11	brown
FRAS1	floralwhite
CCNG2	brown
CNOT6L	green
ANXA3	pink
GSTCD	blue
LEF1	green
SEC24B	turquoise
PPP3CA	saddlebrown
RGS3	turquoise
GUCD1	magenta
RNF185	blue
PARVG	blue
CLSTN3	turquoise
PEX5	magenta
LRIG3	turquoise
GLIPR1	blue
PHLDA1	darkorange
PTPRQ	pink
POC1B	white
TMTC3	turquoise
LUM	yellow
NEDD1	steelblue
SLC15A4	lightgreen
TDG	blue
SDSL	blue
FAM222A	paleturquoise
MTMR6	blue
SLC7A1	turquoise
CCDC65	turquoise
BRCA2	green
KANSL2	lightcyan
GALNT6	midnightblue
LPAR6	orange
ESD	lightyellow
RB1	turquoise
VPS37B	skyblue
RHOF	grey
DENR	turquoise
RBM26	grey
FRMD6	yellow
SLC38A6	turquoise
GPR65	blue
FBLN5	yellow
WARS	blue
WDR20	brown
LYSMD2	black
FGF7	lightyellow
HDC	midnightblue
BNIP2	cyan
BAHD1	blue
TLE3	blue
UBE2Q2	blue
WDR61	turquoise
MAN2C1	orangered4
DNAJA4	blue
TPM1	turquoise
ARRDC4	brown
PML	turquoise
ADAMTS17	lightgreen
POLG	blue
MCTP2	red
FURIN	blue
EFL1	skyblue3
SH3GL3	turquoise
ITGAX	blue
C16orf58	turquoise
CDR2	blue
CPNE2	brown
NLRC5	sienna3
MAP1LC3B	blue
NDUFB10	blue
UTP4	mediumpurple3
PCTP	orange
TOB1	turquoise
NPEPPS	turquoise
SKAP1	green
ABCA8	yellow
PTRH2	blue
TAF4B	turquoise
IMPA2	turquoise
C18orf8	brown
MINK1	tan
SAT2	grey
PIK3R5	blue
TP53	lightgreen
CCDC40	turquoise
TMC6	blue
SLC16A3	blue
ANAPC11	ivory
NARF	turquoise
RNF157	brown
WDR45B	blue
MBD1	brown
SMAD4	steelblue
PMAIP1	grey60
RETREG3	lightgreen
MIEN1	turquoise
IGFBP4	turquoise
PRDM15	greenyellow
FEM1A	blue
MVB12A	blue
SH3GL1	blue
CCDC97	lightgreen
TRPM2	orange
SCYL1	turquoise
URB1	ivory
EMP3	blue
ADAMTS10	darkgreen
ZNF787	lightcyan
NOSIP	cyan
CNKSR1	darkgrey
KIAA0319L	red
FCN3	purple
GPN2	turquoise
HSPG2	ivory
ITGB3BP	darkred
CYR61	yellow
PIGK	blue
PTPRF	greenyellow
LMO4	darkturquoise
SLC44A3	pink
IGSF3	turquoise
STRIP1	pink
ALDH9A1	yellow
TIPRL	turquoise
MPC2	turquoise
UCK2	cyan
PPOX	turquoise
FCGR2A	blue
SDHC	turquoise
PFDN2	blue
ISG20L2	darkgreen
ABL2	blue
RGL1	turquoise
GOLPH3L	turquoise
DYRK3	turquoise
EIF2D	darkorange
INTS7	turquoise
SMYD2	greenyellow
SUSD4	turquoise
DUSP10	grey60
RAB13	brown
S100A8	blue
HAX1	darkolivegreen
KCNN3	turquoise
C1orf131	blue
SCCPDH	turquoise
ITPKB	blue
GUK1	blue
MBOAT2	turquoise
SOX13	turquoise
HNRNPLL	skyblue
ETAA1	blue
MEIS1	yellow
CIAO1	darkolivegreen
SFXN5	brown
DUSP11	grey
NPHP1	turquoise
RALB	magenta
SPOPL	turquoise
AMMECR1L	darkred
PKP4	turquoise
SCN1A	red
LNPK	brown
ZNF385B	red
UBR3	skyblue
SPAG16	turquoise
RHBDD1	turquoise
ACKR3	yellow
TAMM41	orange
RAB5A	lightcyan1
RETREG2	lightcyan
CNOT9	turquoise
SLC25A38	turquoise
STAC	brown
IQSEC1	blue
SHQ1	turquoise
UBA3	brown
RABL3	brown
IGSF11	turquoise
MED12L	grey60
TRPC1	lightcyan
SPATA16	magenta
RUBCN	black
TCTA	lightyellow
EAF2	brown
SLIT2	yellow
EIF2B5	cyan
CENPC	royalblue
CORIN	grey
SCD5	turquoise
PLAC8	turquoise
ENOPH1	blue
KLHL8	blue
SNCA	greenyellow
CISD2	brown
METTL14	brown
SRD5A1	pink
PLK2	plum1
GZMA	green
PIK3R1	sienna3
SSBP2	turquoise
IQGAP2	blue
RASA1	mediumpurple3
PPIP5K2	turquoise
SLC30A5	blue
TNFAIP8	blue
FEM1C	brown
ATG12	skyblue
ARHGAP26	blue
CXCL14	yellow
TNIP1	blue
G3BP1	darkgrey
RMND5B	violet
BOD1	lightsteelblue1
TBC1D7	black
GFOD1	darkmagenta
CDKAL1	turquoise
DCDC2	turquoise
DAAM2	grey
NFKBIE	blue
MMS22L	turquoise
SCML4	green
ARHGAP18	blue
ABRACL	brown
SLC18B1	blue
TMEM181	plum1
SDK1	turquoise
IGFBP3	turquoise
PURB	blue
MDH2	blue
POMZP3	darkmagenta
ZNF92	brown
TMEM168	plum1
SLC12A9	floralwhite
GIGYF1	blue
TRIM4	midnightblue
MEPCE	turquoise
TMEM140	saddlebrown
NOM1	turquoise
SHROOM2	turquoise
SH3KBP1	green
CHST7	mediumpurple3
KRBOX4	grey
OGT	grey
SNX12	blue
GCNA	turquoise
DOCK11	brown
NSDHL	lightyellow
CETN2	turquoise
CSGALNACT1	blue
CCDC25	turquoise
DOK2	brown
SLC25A37	blue
TACC1	pink
GOLGA7	lightyellow
ADHFE1	turquoise
LACTB2	magenta
ATP6V0D2	lightyellow
LRP12	blue
EBAG9	pink
POLR2K	magenta
UTP23	brown
TATDN1	black
PLIN2	blue
C9orf72	blue
ZCCHC7	black
INIP	blue
GSN	yellow
POLE3	blue
SURF1	darkturquoise
MIGA2	turquoise
SEC16A	darkred
NOTCH1	blue
PDSS1	turquoise
FAM171A1	darkolivegreen
TMEM236	skyblue
ZEB1	purple
ADIRF	pink
RPP30	turquoise
FRA10AC1	lightyellow
DNAJB12	grey
PLEKHS1	turquoise
LRRC27	turquoise
ITPRIP	saddlebrown
PDCD11	cyan
ADAM12	midnightblue
RGS10	blue
ADM	blue
LIN7C	brown
SCGB1A1	turquoise
HSD17B12	red
DGKZ	turquoise
PTPRJ	blue
ARFGAP2	yellow
CCDC82	turquoise
PAK1	midnightblue
ZC3H12C	tan
TTC12	turquoise
NCAM1	turquoise
NPAT	lightcyan
AASDHPPT	cyan
ST14	greenyellow
HYOU1	sienna3
KAT14	grey
FRG1BP	blue
CPSF7	violet
EI24	brown
CHEK1	blue
SIDT2	blue
DSN1	turquoise
VPS51	turquoise
PPP4C	turquoise
HIRIP3	turquoise
ITGB1	tan
CWC15	brown
FCGR1A	blue
TMCO3	turquoise
TMEM218	skyblue
KIAA1328	grey
LYPD6B	turquoise
PDCD4	green
GPM6A	pink
CCDC102B	tan
CD226	green
FSIP1	turquoise
PRSS23	ivory
DIXDC1	turquoise
DLAT	turquoise
C11orf57	turquoise
PIP4K2A	blue
FOXO1	green
CRIM1	red
NOCT	blue
ENKUR	turquoise
CACNA1C	tan
C12orf45	blue
TMEM263	lightgreen
BTBD11	blue
PLBD2	blue
GXYLT1	paleturquoise
TWF1	turquoise
TMEM18	grey
VIPAS39	brown
ANKRD50	orange
UPF2	turquoise
SCLT1	blue
CCDC3	skyblue
C4orf33	darkgreen
THYN1	salmon
VPS26B	turquoise
NCAPD3	turquoise
QDPR	brown
QTRT2	brown
KIN	turquoise
RNF144A	red
ASAP2	mediumpurple3
FLI1	blue
CENPU	blue
ACSL1	blue
SLC25A4	turquoise
GUF1	turquoise
TMEM267	grey
PARP8	green
GFRA1	greenyellow
CACUL1	steelblue
BAG3	blue
AP1S3	turquoise
PTPN14	turquoise
MGAT5	brown
CYSLTR2	blue
SETBP1	turquoise
ARL14EP	blue
ATP5A1	greenyellow
PDE3B	blue
KCNK13	blue
UHMK1	brown
FAM151B	blue
GUCY1A2	yellow
CWF19L2	black
HOMER1	turquoise
DCLRE1C	blue
USP12	blue
CAMK4	green
ZFP36L2	green
PLEKHH2	yellow
SPARCL1	yellow
CAPSL	turquoise
GJA1	grey
SLC30A6	cyan
RASGRP3	blue
TCTEX1D1	turquoise
WDR78	turquoise
GGPS1	royalblue
ZNF117	red
LMNTD1	turquoise
MARVELD2	turquoise
RAD17	turquoise
MED21	blue
JAKMIP1	turquoise
ADGRA3	brown
CARHSP1	saddlebrown
TXNDC11	brown
ACOXL	red
ANAPC1	turquoise
SCOC	turquoise
SYCP2L	blue
BMP6	ivory
RASSF3	blue
NR4A2	blue
CCDC148	turquoise
PLA2R1	turquoise
RBMS1	darkorange
CD96	green
ADGRF1	turquoise
FAM81B	turquoise
LINC00467	turquoise
RPIA	grey60
LURAP1L	tan
CNKSR3	turquoise
C7orf31	magenta
CMIP	blue
CEBPG	turquoise
DGKE	blue
NUS1	blue
IMPACT	turquoise
CHST9	turquoise
DNAAF1	turquoise
TBCEL	magenta
ANKH	yellowgreen
OTULIN	magenta
UBASH3B	blue
TBRG1	blue
TOMM70	blue
ABI3BP	yellow
ANGPT1	turquoise
PITPNC1	royalblue
CC2D1B	blue
ABCA5	turquoise
MIA3	darkgreen
PGM5	lightcyan
OBSCN	grey60
TRIM11	blue
GBP5	blue
BUB3	brown
CCDC173	turquoise
FAM69A	turquoise
PDLIM3	yellow
LY96	yellow
GABPA	grey
ADAMTS1	yellow
CCDC174	saddlebrown
FGD5	brown
DPH3	blue
OXNAD1	darkorange
PLCL2	paleturquoise
CCDC144B	grey
ACSS1	salmon
APOOL	grey
OTUD6B	grey
AGPAT5	turquoise
HSPA13	lightyellow
SAMSN1	blue
C16orf87	black
MOV10	turquoise
RHOC	cyan
SLC16A1	blue
HEATR3	blue
LRGUK	turquoise
NUP205	darkred
PIK3AP1	blue
TTN	red
FAM126B	saddlebrown
C2CD6	skyblue3
SPAG17	turquoise
PPARGC1B	purple
SLC26A2	yellow
SAXO1	salmon
PXYLP1	turquoise
SLA	blue
VBP1	floralwhite
CLIC2	red
VPS37A	grey
CARNMT1	blue
CFAP70	turquoise
GNA14	turquoise
FAM161B	yellow
KCNMA1	blue
BATF	plum1
ADAMTS3	plum1
CFAP161	turquoise
WHAMM	blue
MAP3K7CL	blue
RPGR	turquoise
SFR1	black
TDRD9	turquoise
PPP2R2B	green
FAM122C	darkorange
SUPV3L1	turquoise
PHF6	greenyellow
CD109	blue
ZDHHC5	black
MED19	skyblue3
AIFM1	brown
FBXO32	turquoise
PHKG2	darkorange
MALSU1	turquoise
LHFPL4	salmon
PDE6D	brown
ZFYVE9	lightcyan
NECAP2	turquoise
PAXIP1	brown
SSBP3	turquoise
GATAD1	turquoise
ST3GAL2	lightyellow
FUK	black
DHRS1	blue
KIT	midnightblue
HYDIN	turquoise
AASDH	grey60
ZNF19	turquoise
MYO1E	turquoise
ERG	purple
TSPAN18	yellow
MX1	blue
C2CD2	turquoise
TMEM268	grey
DRC1	turquoise
RER1	violet
SKI	tan
PAFAH2	blue
PTPDC1	brown
CNNM4	salmon
DZIP1L	turquoise
MRAS	turquoise
ABHD3	skyblue3
CUL4B	darkgreen
SHROOM4	red
HIST1H2BD	grey
MITD1	blue
CNOT11	turquoise
B4GALT5	blue
DNAH3	turquoise
ZC3H18	blue
TMED4	magenta
PPP1R15B	blue
COPG2	blue
EMSY	salmon
ELK4	brown
DEDD	darkgrey
EDA	blue
PINK1	darkgreen
B4GALT3	lightsteelblue1
NDUFS2	turquoise
CCAR2	brown
CDC42SE2	green
SYNJ1	turquoise
PAXBP1	turquoise
GART	tan
UBE2Z	blue
SNF8	grey
ADIPOR1	greenyellow
HK2	blue
C1R	yellow
THEM4	white
UBR1	red
AMFR	brown
NAE1	red
TMEM69	white
CHCHD6	lightyellow
CTBP1	magenta
TPPP3	turquoise
AGRP	brown
ZFYVE28	blue
RGS12	turquoise
PSKH1	blue
CCDC107	greenyellow
ZNF235	turquoise
GNE	turquoise
CALM3	blue
BSDC1	lightcyan1
ATAD3B	turquoise
UBE2J2	blue
VMA21	blue
RSPH1	turquoise
SLC37A1	turquoise
WDR4	greenyellow
NDUFV3	white
RRP1B	cyan
PDXK	skyblue
GAB3	blue
RALGDS	blue
ZNF761	darkred
C9orf116	turquoise
ZNF714	tan
CFAP157	turquoise
ZER1	turquoise
SPTBN4	lightyellow
MPZL3	turquoise
PCSK7	blue
SAFB	darkmagenta
CD3G	saddlebrown
CHTOP	blue
VPS11	darkorange
IL6R	blue
UBE2Q1	grey
SLC25A44	blue
GPATCH4	blue
AZGP1	grey
ZNF394	blue
CPSF4	lightyellow
ORAI2	violet
MRNIP	turquoise
SCGB3A1	turquoise
MFSD12	turquoise
DVL3	darkturquoise
PLXDC1	brown
IKZF3	green
SRSF2	darkturquoise
TMEM143	darkgrey
ZNF385A	blue
FMNL3	mediumpurple3
RACGAP1	steelblue
MED11	brown
SCIMP	black
ADCY9	red
TTC9C	turquoise
STX5	darkmagenta
TPCN2	yellow
ACOT11	turquoise
USP24	lightyellow
PLPP3	yellow
RAVER2	turquoise
LZIC	turquoise
PEF1	magenta
SYNC	pink
KIAA1522	turquoise
MEGF6	red
USP1	brown
FUBP1	blue
NEXN	turquoise
TYW3	green
FAM102B	blue
C1orf52	cyan
GBP2	blue
GBP4	blue
AGL	turquoise
NLRP3	blue
PEA15	blue
NCSTN	brown
SLAMF6	magenta
FCGR3B	brown
SLC9C2	turquoise
FLVCR1	turquoise
RBM15	white
DENND2D	violet
SPATA17	turquoise
TFB2M	turquoise
PEX13	grey
CAPN13	turquoise
TYW5	brown
PQLC3	saddlebrown
CLHC1	turquoise
CFAP36	turquoise
NUP35	turquoise
SPATA18	turquoise
HPGDS	midnightblue
ERCC3	blue
BOLA3	turquoise
ARHGAP25	black
S100A9	blue
TDRD10	darkturquoise
ANTXR2	blue
HELQ	grey
GPR155	blue
PBXIP1	green
HIPK1	blue
COL6A3	yellow
EOGT	lightcyan
NAXE	blue
SLC15A2	blue
FSTL1	yellow
IGFBP7	yellow
NEK10	turquoise
CCDC141	red
CWC22	grey
FBLN2	yellow
CLASP2	turquoise
NUAK2	red
MNDA	blue
PYHIN1	lightgreen
IFI16	brown
EFHB	turquoise
ICA1L	turquoise
ICOS	paleturquoise
GTPBP8	turquoise
CCDC191	turquoise
THOC7	blue
PRICKLE2	turquoise
ADAMTS9	purple
PPM1K	paleturquoise
ABHD6	blue
PCOLCE2	yellow
TTC14	paleturquoise
CXCL3	blue
CXCL5	brown
MTHFD2L	red
RCHY1	blue
CPA3	midnightblue
GYG1	brown
HPS3	blue
TOPBP1	blue
RYK	darkred
SNRK	blue
SLC4A1AP	brown
PLB1	turquoise
SPDYA	turquoise
KIAA1143	brown
CDCP1	steelblue
LZTFL1	turquoise
FYCO1	lightcyan1
ELP6	turquoise
SMIM12	skyblue3
SNIP1	black
DNALI1	turquoise
POLR2H	turquoise
CFAP100	turquoise
RPN1	brown
IFT122	turquoise
SFMBT1	blue
ARHGEF3	turquoise
S100P	turquoise
METAP1	turquoise
EMCN	purple
ZNF589	yellow
SPRY1	tan
BSN	mediumpurple3
INTU	turquoise
MFSD8	turquoise
HMGB2	blue
CEP44	turquoise
HPGD	grey60
TMEM144	blue
IL15	blue
ARFIP1	brown
ANAPC10	lightsteelblue1
ABCE1	midnightblue
OTUD4	blue
TMEM184C	blue
ITGA2	turquoise
MOCS2	turquoise
ELOVL7	blue
NDUFAF2	blue
LMBRD2	lightcyan1
SLC25A46	brown
STARD4	brown
PGGT1B	violet
CCDC112	turquoise
ANKRD33B	blue
PRRC1	salmon
AGGF1	black
SCGB3A2	turquoise
RHOBTB3	pink
CASP3	brown
PRIMPOL	turquoise
ERAP2	white
EBF1	yellow
ANKRA2	darkgreen
GFM2	turquoise
CCDC127	pink
CITED2	magenta
CREBRF	black
DCBLD1	purple
SFXN1	greenyellow
SAMD3	salmon
STXBP5	darkorange
STK17A	blue
BMT2	blue
CAMLG	brown
BMPER	tan
KCNK5	grey
KIF6	turquoise
ZNF12	darkorange
SLC29A4	blue
CDCA7L	blue
USP49	brown
SYTL3	green
TAGAP	blue
COL1A2	yellow
CHMP4C	magenta
LMTK2	red
SLC30A8	turquoise
DNAAF5	orangered4
SUN1	turquoise
PHAX	turquoise
SLC25A32	brown
DCAF13	blue
TP53INP1	turquoise
INTS8	blue
GEM	red
TMEM67	turquoise
FAM219A	blue
C9orf24	turquoise
SNAPC3	turquoise
TMEM65	orange
PSIP1	white
CCDC171	turquoise
ABCA1	blue
LETM2	turquoise
METTL2B	magenta
FXN	grey
ZMAT4	lightgreen
TMEM71	blue
C8orf34	turquoise
GKAP1	turquoise
C9orf64	blue
SVEP1	yellow
ANKS6	ivory
CFAP47	turquoise
DYNLT3	turquoise
ASB11	salmon
CARD19	yellow
ATP7A	green
NLGN4Y	turquoise
HDX	turquoise
NDUFB6	darkturquoise
STOML2	brown
BRWD3	turquoise
ARMC3	turquoise
HECTD2	yellow
MARCH8	plum1
GTF2A1	blue
ZCCHC24	turquoise
PGM2L1	turquoise
FOLR2	blue
DNAAF2	black
C10orf10	tan
KLHDC2	blue
EML5	turquoise
ARF6	blue
TTC8	turquoise
NUDT5	lightcyan
ATP5C1	brown
PRPF18	cyan
VSTM4	grey
FAM175B	black
FAM204A	skyblue3
PRDX3	steelblue
SDCCAG3	magenta
FUNDC2	blue
ZFYVE1	blue
HSPA12A	turquoise
ARHGAP42	turquoise
PSMC3	blue
TC2N	turquoise
MOAP1	turquoise
CLMN	turquoise
PDZRN4	yellow
CACNB2	lightcyan
CEP295	cyan
HTRA1	turquoise
JAM3	black
RAB8B	blue
IKBIP	blue
FBN1	yellow
BTRC	lightsteelblue1
API5	turquoise
ALKBH3	brown
GABRB3	turquoise
SGPL1	blue
CCT2	brown
PCBD1	grey
FAM227B	turquoise
STXBP4	turquoise
CYYR1	turquoise
CUL5	red
APBB1	turquoise
C11orf65	turquoise
TAF10	midnightblue
IDH3A	midnightblue
ZMAT1	turquoise
TRIM66	turquoise
CDYL2	blue
CENPN	turquoise
ATMIN	brown
LEO1	turquoise
WEE1	turquoise
PRKCB	blue
ENSG00000166503	turquoise
CLEC4E	blue
ZSCAN21	darkturquoise
RIMKLB	pink
A2ML1	skyblue3
RRAD	turquoise
FAM96B	turquoise
CFAP52	turquoise
BLCAP	blue
COG1	turquoise
AP1G1	grey
SLFN5	brown
CATSPER2	mediumpurple3
C16orf45	cyan
LDHC	turquoise
FAM96A	pink
FAM111A	brown
SCNN1G	turquoise
ANKDD1A	blue
STAT6	cyan
PATL1	turquoise
STX3	red
